Code,Label,Status,Text Language,Text Type,Text Content,Media Type,Media Url,Address Language Id,Country Code,City
Duracell,Duracell,1,default,,,,,,,
Flowtron,Flowtron,1,default,,,,,,,
Avalon_Organics,Avalon_Organics,1,default,,,,,,,
Pepcid,Pepcid,1,default,,,,,,,
Ammens,Ammens,1,default,,,,,,,
Lactaid,Lactaid,1,default,,,,,,,
FIRST_RESPONSE,FIRST_RESPONSE,1,default,,,,,,,
Fungi-Nail,Fungi-Nail,1,default,,,,,,,
Neutrogena,Neutrogena,1,default,,,,,,,
Selsun_Blue,Selsun_Blue,1,default,,,,,,,
UltraSwim,UltraSwim,1,default,,,,,,,
Reach,Reach,1,default,,,,,,,
Cushion_Grip,Cushion_Grip,1,default,,,,,,,
biot\u00e8ne,biot\u00e8ne,1,default,,,,,,,
Plax,Plax,1,default,,,,,,,
Herpecin-L,Herpecin-L,1,default,,,,,,,
Gillette,Gillette,1,default,,,,,,,
AmLactin,AmLactin,1,default,,,,,,,
Cetaphil,Cetaphil,1,default,,,,,,,
Eucerin,Eucerin,1,default,,,,,,,
COTY_AIRSPUN,COTY_AIRSPUN,1,default,,,,,,,
Almay,Almay,1,default,,,,,,,
Dial,Dial,1,default,,,,,,,
Mennen,Mennen,1,default,,,,,,,
Old_Spice,Old_Spice,1,default,,,,,,,
Secret,Secret,1,default,,,,,,,
Fleet,Fleet,1,default,,,,,,,
Aqua_Velva,Aqua_Velva,1,default,,,,,,,
Oral-B,Oral-B,1,default,,,,,,,
REVLON,REVLON,1,default,,,,,,,
Clearblue,Clearblue,1,default,,,,,,,
Bump_Stopper,Bump_Stopper,1,default,,,,,,,
SoftSheen-Carson,SoftSheen-Carson,1,default,,,,,,,
Flents,Flents,1,default,,,,,,,
Aquaphor,Aquaphor,1,default,,,,,,,
Carex,Carex,1,default,,,,,,,
Carex_Health_Brands,Carex_Health_Brands,1,default,,,,,,,
Dr._Bronner's,Dr._Bronner's,1,default,,,,,,,
J\u0100S\u00d6N,J\u0100S\u00d6N,1,default,,,,,,,
Avalon,Avalon,1,default,,,,,,,
NATRACARE,NATRACARE,1,default,,,,,,,
Aveeno,Aveeno,1,default,,,,,,,
NicoDerm,NicoDerm,1,default,,,,,,,
Desitin,Desitin,1,default,,,,,,,
Johnson's_Baby,Johnson's_Baby,1,default,,,,,,,
Palmer's,Palmer's,1,default,,,,,,,
Philips_AVENT,Philips_AVENT,1,default,,,,,,,
Conair,Conair,1,default,,,,,,,
Peak_Essentials_The_Original_TUNG_Brush,Peak_Essentials_The_Original_TUNG_Brush,1,default,,,,,,,
The_First_Years,The_First_Years,1,default,,,,,,,
Safety_1st,Safety_1st,1,default,,,,,,,
Max_Factor,Max_Factor,1,default,,,,,,,
Clear_Care,Clear_Care,1,default,,,,,,,
Skin_Success,Skin_Success,1,default,,,,,,,
Telebrands,Telebrands,1,default,,,,,,,
Braun,Braun,1,default,,,,,,,
Arm_&_Hammer,Arm_&_Hammer,1,default,,,,,,,
Wilton,Wilton,1,default,,,,,,,
Wahl_Clipper,Wahl_Clipper,1,default,,,,,,,
L'Oreal_Paris,L'Oreal_Paris,1,default,,,,,,,
Refresh,Refresh,1,default,,,,,,,
EZY_DOSE,EZY_DOSE,1,default,,,,,,,
Jensen,Jensen,1,default,,,,,,,
Prince_Lionheart,Prince_Lionheart,1,default,,,,,,,
Sun-In,Sun-In,1,default,,,,,,,
Futuro,Futuro,1,default,,,,,,,
CRYSTAL_Deodorant,CRYSTAL_Deodorant,1,default,,,,,,,
DERMA-E,DERMA-E,1,default,,,,,,,
Tea_Tree_Therapy,Tea_Tree_Therapy,1,default,,,,,,,
Natrol,Natrol,1,default,,,,,,,
Uncle_Lee's_Tea,Uncle_Lee's_Tea,1,default,,,,,,,
SC_Johnson,SC_Johnson,1,default,,,,,,,
Nature_Made,Nature_Made,1,default,,,,,,,
Advil,Advil,1,default,,,,,,,
BreathRx,BreathRx,1,default,,,,,,,
Rogaine,Rogaine,1,default,,,,,,,
Vanicream,Vanicream,1,default,,,,,,,
DERMAdoctor,DERMAdoctor,1,default,,,,,,,
Olbas,Olbas,1,default,,,,,,,
