Code,Parent,Label,Status,Text Type,Text Content,Text Type,Text Content,Text Type,Text Content,Text Type,Text Content,Text Type,Text Content,Text Type,Text Content,Media URL,Media Type
Health_&_Household,home,Health & Household,1,,,,,,,,,,,,,,
"Patio,_Lawn_&_Garden",Health_&_Household,"Patio, Lawn & Garden",1,,,,,,,,,,,,,,
Amazon_Launchpad,home,Amazon Launchpad,1,,,,,,,,,,,,,,
Beauty_&_Personal_Care,home,Beauty & Personal Care,1,,,,,,,,,,,,,,
Baby,home,Baby,1,,,,,,,,,,,,,,
Grocery_&_Gourmet_Food,home,Grocery & Gourmet Food,1,,,,,,,,,,,,,,
Automotive,home,Automotive,1,,,,,,,,,,,,,,
SHAMPOO,Health_&_Household,Janitorial Supply,1,,,,,,,,,,,,,,
DENTAL_FLOSS,Health_&_Household,Building Material,1,,,,,,,,,,,,,,
BONDING_ADHESIVES,Baby,Toys and Games,1,,,,,,,,,,,,,,
MOUTHWASH,home,Sporting Goods,1,,,,,,,,,,,,,,
LIP_BALM,Beauty_&_Personal_Care,Skin Care Product,1,,,,,,,,,,,,,,
RAZOR_BLADE_CARTRIDGE,Health_&_Household,Home Bed and Bath,1,,,,,,,,,,,,,,
SKIN_MOISTURIZER,Beauty_&_Personal_Care,Make Up,1,,,,,,,,,,,,,,
SKIN_CLEANING_AGENT,Health_&_Household,Laundry Appliance,1,,,,,,,,,,,,,,
COSMETIC_POWDER,home,Kitchen,1,,,,,,,,,,,,,,
MASCARA,Health_&_Household,Safety Supply,1,,,,,,,,,,,,,,
BODY_DEODORANT,Health_&_Household,Outdoor Living,1,,,,,,,,,,,,,,
PERSONAL_FRAGRANCE,Health_&_Household,Home Furniture and Decoration,1,,,,,,,,,,,,,,
LIP_COLOR,Beauty_&_Personal_Care,Personal Care Appliance,1,,,,,,,,,,,,,,
HEALTH_PERSONAL_CARE,Beauty_&_Personal_Care,Fragrance,1,,,,,,,,,,,,,,
SHAVING_AGENT,Health_&_Household,Security Electronics,1,,,,,,,,,,,,,,
EARPLUG,home,Fashion,1,,,,,,,,,,,,,,
TOILET_SEAT,home,Pet Supplies,1,,,,,,,,,,,,,,
TAMPON,Beauty_&_Personal_Care,Eyewear,1,,,,,,,,,,,,,,
NICOTINE_REPLACEMENT,Health_&_Household,Art and Craft Supply,1,,,,,,,,,,,,,,
